date,author_region,visits,visitors,weekday,weekend,holiday
2018-04-18,PH,1,1,Wednesday,False,Regular Day
2018-06-04,DE,2,1,Monday,False,Regular Day
2018-07-19,PH,1,1,Thursday,False,Regular Day
2018-07-20,PH,1,1,Friday,False,Regular Day
2018-07-20,TR,1,1,Friday,False,Regular Day
2018-07-26,JP,1,1,Thursday,False,Regular Day
2018-07-26,TH,1,1,Thursday,False,Regular Day
2018-08-05,IN,1,1,Sunday,True,Regular Day
2018-08-15,JP,1,1,Wednesday,False,Regular Day
2018-08-19,CN,1,1,Sunday,True,Regular Day
2018-08-19,PH,1,1,Sunday,True,Regular Day
2018-08-19,TW,2,1,Sunday,True,Regular Day
2018-08-21,NP,1,1,Tuesday,False,Regular Day
2018-08-24,JP,2,1,Friday,False,Regular Day
2018-08-24,PH,2,1,Friday,False,Regular Day
2018-08-25,JP,1,1,Saturday,True,Regular Day
2018-08-26,VN,1,1,Sunday,True,Regular Day
2018-08-31,PH,1,1,Friday,False,Regular Day
2018-09-01,JP,2,2,Saturday,True,Regular Day
2018-09-02,JP,2,2,Sunday,True,Regular Day
2018-09-02,PH,2,1,Sunday,True,Regular Day
2018-09-02,TW,2,1,Sunday,True,Regular Day
2018-09-03,JP,1,1,Monday,False,Regular Day
2018-09-03,TW,1,1,Monday,False,Regular Day
2018-09-04,JP,1,1,Tuesday,False,Regular Day
2018-09-04,PH,1,1,Tuesday,False,Regular Day
2018-09-05,JP,2,2,Wednesday,False,Regular Day
2018-09-16,JP,1,1,Sunday,True,Regular Day
2018-09-17,US,1,1,Monday,False,Regular Day
2018-09-18,AE,1,1,Tuesday,False,Regular Day
2018-09-21,QA,1,1,Friday,False,Regular Day
2018-09-24,MY,1,1,Monday,False,Regular Day
2018-09-25,PH,1,1,Tuesday,False,Regular Day
2018-09-26,JP,1,1,Wednesday,False,Regular Day
2018-09-27,IN,2,1,Thursday,False,Regular Day
2018-09-27,JP,4,3,Thursday,False,Regular Day
2018-09-29,TW,1,1,Saturday,True,Regular Day
2018-09-30,JP,1,1,Sunday,True,Regular Day
2018-10-01,JP,3,1,Monday,False,Regular Day
2018-10-03,PH,1,1,Wednesday,False,Regular Day
2018-10-03,TW,1,1,Wednesday,False,Regular Day
2018-10-05,JP,1,1,Friday,False,Regular Day
2018-10-07,JP,1,1,Sunday,True,Regular Day
2018-10-08,JP,2,2,Monday,False,Regular Day
2018-10-08,TW,1,1,Monday,False,Regular Day
2018-10-09,PH,2,1,Tuesday,False,Regular Day
2018-10-14,JP,2,2,Sunday,True,Regular Day
2018-10-15,JP,1,1,Monday,False,Regular Day
2018-10-16,TH,1,1,Tuesday,False,Regular Day
2018-10-17,MY,1,1,Wednesday,False,Regular Day
2018-10-20,JP,2,2,Saturday,True,Regular Day
2018-10-21,JP,1,1,Sunday,True,Regular Day
2018-10-22,KR,1,1,Monday,False,Regular Day
2018-10-24,TW,1,1,Wednesday,False,Regular Day
2018-10-24,US,1,1,Wednesday,False,Regular Day
2018-10-26,JP,1,1,Friday,False,Regular Day
2018-10-26,TW,1,1,Friday,False,Regular Day
2018-10-27,TH,1,1,Saturday,True,Regular Day
2018-10-28,JP,1,1,Sunday,True,Regular Day
2018-10-28,MY,1,1,Sunday,True,Regular Day
2018-10-30,JP,1,1,Tuesday,False,Regular Day
2018-10-30,TH,1,1,Tuesday,False,Regular Day
2018-10-31,IN,1,1,Wednesday,False,Regular Day
2018-10-31,JP,4,2,Wednesday,False,Regular Day
2018-11-01,GB,1,1,Thursday,False,Regular Day
2018-11-01,IN,1,1,Thursday,False,Regular Day
2018-11-02,PH,1,1,Friday,False,Regular Day
2018-11-05,IN,1,1,Monday,False,Regular Day
2018-11-05,TH,1,1,Monday,False,Regular Day
2018-11-06,IN,1,1,Tuesday,False,Regular Day
2018-11-06,TH,1,1,Tuesday,False,Regular Day
2018-11-09,JP,1,1,Friday,False,Regular Day
2018-11-12,JP,1,1,Monday,False,Regular Day
2018-11-13,JP,1,1,Tuesday,False,Regular Day
2018-11-13,TH,1,1,Tuesday,False,Regular Day
2018-11-14,ID,1,1,Wednesday,False,Regular Day
2018-11-14,JP,1,1,Wednesday,False,Regular Day
2018-11-16,MY,1,1,Friday,False,Regular Day
2018-11-17,JP,3,2,Saturday,True,Regular Day
2018-11-17,KR,1,1,Saturday,True,Regular Day
2018-11-19,TW,1,1,Monday,False,Regular Day
2018-11-20,JP,1,1,Tuesday,False,Regular Day
2018-11-22,TW,1,1,Thursday,False,Regular Day
2018-11-24,JP,2,2,Saturday,True,Regular Day
2018-11-25,JP,2,1,Sunday,True,Regular Day
2018-11-25,PH,1,1,Sunday,True,Regular Day
2018-11-27,PH,1,1,Tuesday,False,Regular Day
2018-11-27,TH,1,1,Tuesday,False,Regular Day
2018-11-27,TW,1,1,Tuesday,False,Regular Day
2018-11-28,ID,1,1,Wednesday,False,Regular Day
2018-11-28,PH,1,1,Wednesday,False,Regular Day
2018-11-30,JP,1,1,Friday,False,Regular Day
2018-12-01,JP,1,1,Saturday,True,Regular Day
2018-12-05,DE,1,1,Wednesday,False,Regular Day
2018-12-05,JP,1,1,Wednesday,False,Regular Day
2018-12-06,JP,1,1,Thursday,False,Regular Day
2018-12-06,KR,1,1,Thursday,False,Regular Day
2018-12-09,GB,1,1,Sunday,True,Regular Day
2018-12-10,KH,1,1,Monday,False,Regular Day
2018-12-10,MY,1,1,Monday,False,Regular Day
2018-12-12,IN,1,1,Wednesday,False,Regular Day
2018-12-12,TH,1,1,Wednesday,False,Regular Day
2018-12-14,SG,1,1,Friday,False,Regular Day
2018-12-14,TW,3,3,Friday,False,Regular Day
2018-12-15,JP,2,2,Saturday,True,Regular Day
2018-12-15,PH,1,1,Saturday,True,Regular Day
2018-12-16,JP,1,1,Sunday,True,Regular Day
2018-12-16,MY,1,1,Sunday,True,Regular Day
2018-12-16,US,1,1,Sunday,True,Regular Day
2018-12-17,JP,1,1,Monday,False,Regular Day
2018-12-19,JP,1,1,Wednesday,False,Regular Day
2018-12-21,JP,2,2,Friday,False,Regular Day
2018-12-22,ID,1,1,Saturday,True,Regular Day
2018-12-22,JP,1,1,Saturday,True,Regular Day
2018-12-25,MN,1,1,Tuesday,False,Regular Day
2018-12-26,JP,1,1,Wednesday,False,Regular Day
2018-12-26,KR,1,1,Wednesday,False,Regular Day
2018-12-26,MN,1,1,Wednesday,False,Regular Day
2018-12-27,TW,1,1,Thursday,False,Regular Day
2018-12-28,JP,1,1,Friday,False,Regular Day
2018-12-30,JP,1,1,Sunday,True,Regular Day
2018-12-31,KR,2,1,Monday,False,Regular Day
2018-12-31,TH,1,1,Monday,False,Regular Day
2019-01-01,ID,1,1,Tuesday,False,Regular Day
2019-01-02,ID,1,1,Wednesday,False,Regular Day
2019-01-03,JP,1,1,Thursday,False,Regular Day
2019-01-03,PH,1,1,Thursday,False,Regular Day
2019-01-04,TW,1,1,Friday,False,Regular Day
2019-01-06,TW,1,1,Sunday,True,Regular Day
2019-01-07,JP,1,1,Monday,False,Regular Day
2019-01-09,PH,1,1,Wednesday,False,Regular Day
2019-01-09,SA,1,1,Wednesday,False,Regular Day
2019-01-10,JP,1,1,Thursday,False,Regular Day
2019-01-10,SG,1,1,Thursday,False,Regular Day
2019-01-11,MO,1,1,Friday,False,Regular Day
2019-01-12,KR,1,1,Saturday,True,Regular Day
2019-01-12,PH,1,1,Saturday,True,Regular Day
2019-01-13,MN,1,1,Sunday,True,Regular Day
2019-01-13,US,1,1,Sunday,True,Regular Day
2019-01-14,JP,1,1,Monday,False,Regular Day
2019-01-17,MY,1,1,Thursday,False,Regular Day
2019-01-18,GB,1,1,Friday,False,Regular Day
2019-01-18,ID,1,1,Friday,False,Regular Day
2019-01-18,JP,2,2,Friday,False,Regular Day
2019-01-18,PH,1,1,Friday,False,Regular Day
2019-01-19,GB,1,1,Saturday,True,Regular Day
2019-01-19,JP,1,1,Saturday,True,Regular Day
2019-01-19,US,1,1,Saturday,True,Regular Day
2019-01-20,JP,2,2,Sunday,True,Regular Day
2019-01-20,KR,2,2,Sunday,True,Regular Day
2019-01-20,TW,1,1,Sunday,True,Regular Day
2019-01-22,IN,1,1,Tuesday,False,Regular Day
2019-01-22,KR,1,1,Tuesday,False,Regular Day
2019-01-24,JP,2,2,Thursday,False,Regular Day
2019-01-24,TW,2,2,Thursday,False,Regular Day
2019-01-25,JP,1,1,Friday,False,Regular Day
2019-01-25,KR,1,1,Friday,False,Regular Day
2019-01-25,PH,1,1,Friday,False,Regular Day
2019-01-26,JP,4,2,Saturday,True,Regular Day
2019-01-29,SG,1,1,Tuesday,False,Regular Day
2019-01-30,JP,1,1,Wednesday,False,Regular Day
2019-01-30,KR,1,1,Wednesday,False,Regular Day
2019-01-30,TH,1,1,Wednesday,False,Regular Day
2019-01-31,JP,1,1,Thursday,False,Regular Day
2019-01-31,QA,1,1,Thursday,False,Regular Day
2019-02-01,JP,1,1,Friday,False,Regular Day
2019-02-01,TW,1,1,Friday,False,Regular Day
2019-02-04,TW,1,1,Monday,False,Regular Day
